City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,kapa'a,22.07521,-159.31895,295.14,83,100,5.14,US,1710567813
82,tolanaro,-25.03249,46.98329,301.08,83,20,5.14,MG,1710567814
83,hun,29.12684,15.94772,284.82,66,24,1.78,LY,1710567814
84,klyuchi,56.32035,160.84541,272.59,90,99,7.61,RU,1710567815
85,udachny,66.42989,112.4021,260.04,71,100,2.79,RU,1710567816
86,torbat-e heydariyeh,35.27401,59.21949,287.43,29,36,2.4,IR,1710567816
87,acarau,-2.88556,-40.12,297.52,92,100,2.77,BR,1710567817
88,askale,39.92083,40.695,273.79,95,100,1.81,TR,1710567817
89,polyarnyy,69.19889,33.44778,262.41,94,22,4.09,RU,1710567818
90,west island,-12.15681,96.82251,302.14,74,75,4.63,CC,1710567818
91,gadzhiyevo,69.25506,33.33616,261.69,96,41,4.11,RU,1710567819
92,nova vicosa,-17.89194,-39.37194,298.26,91,19,2.11,BR,1710567820
93,papao,-17.75,-149.55,301.97,77,100,1.73,PF,1710567820
94,fort st. john,56.24988,-120.85292,280.09,65,75,3.09,CA,1710567821
95,puerto armuelles,8.27775,-82.86206,302.72,75,54,3.13,PA,1710567821
96,pitimbu,-7.47056,-34.80861,298.48,80,75,4.01,BR,1710567822
97,uturoa,-16.72891,-151.44482,301.78,72,100,2.76,PF,1710567823
98,dayton,39.23714,-119.59295,280.75,56,0,0.0,US,1710567823
99,kosh-agach,49.99273,88.67598,257.78,74,21,0.72,RU,1710567824
100,timimoun,29.26388,0.23098,288.36,26,0,4.12,DZ,1710567824
101,ulsteinvik,62.34317,5.84869,277.46,60,100,6.71,NO,1710567825
102,chonchi,-42.62387,-73.775,281.92,96,79,1.43,CL,1710567826
103,kupino,54.36635,77.29805,268.44,91,100,9.82,RU,1710567826
104,dunedin,-45.87416,170.50361,288.04,64,100,0.89,NZ,1710567827
105,caburan,5.91806,125.64111,302.71,60,98,6.05,PH,1710567827
106,kodiak,57.78852,-152.40533,274.28,80,100,3.09,US,1710567828
107,swakopmund,-22.67842,14.52663,289.62,88,32,0.63,NA,1710567829
108,bikenibeu village,1.3673,173.12415,303.13,84,40,4.12,KI,1710567829
109,anadyr,64.73424,177.5103,253.13,83,40,2.68,RU,1710567830
110,bodo,67.28,14.40501,271.36,65,75,8.75,NO,1710567830
111,quellon,-43.11819,-73.61661,282.62,86,92,3.23,CL,1710567831
